Query,Title,ID,Similarity,Release_Date,Developers,Summary,Platforms,Genres,Rating,Plays,Playing,Backlogs,Wishlist,Lists,Reviews,Developer,Score
Easiest ways to discover classic console remakes,Shin Megami Tensei: Nocturne - Hardtype,20597,0.7523621320724487,"Oct 31, 2017",[],"Introducing Shin Megami Tensei: Nocturne - Hardtype! This is a hack of the original game designed with several primary goals in mind:
1) Rebalance many aspects of the original game.
2) Create a gameplay experience that is challenging to veterans of the SMT series.
3) Add in some fresh new enemies and skills to revitalize the gameplay experience.
This hack is intended for people who have already played (and generally mastered) the original game, and is designed to be played on Hard mode. For those who don’t fit this profile, or don’t want a more challenging experience than the original, then feel free to play on Normal mode.",['PlayStation 2'],"['RPG', 'Turn Based Strategy']",4.2,41.0,6.0,59.0,27.0,9.0,6.0,,1
Easiest ways to discover classic console remakes,Game Room,6583,0.7497943043708801,"Mar 24, 2010","['Krome Studios', 'Microsoft']","Game Room lets you relive the glory days of classic arcade and console games in their original forms. Game Room will bring you a library of original classics like “Centipede” and “Asteroids Deluxe” from Atari Inc. and other favorites from Intellivision, Konami Corp, and more. With weekly new title releases, your arcade will soon be retrofitted to perfection. Challenge your friends to beat your high score by sending custom challenges and taunts across platforms, earn Achievements, unlock levels, and climb your way to the top of the universal leaderboards.","['Windows PC', 'Xbox 360']","['Arcade', 'Simulator']",1.9,80.0,0.0,2.0,2.0,5.0,2.0,,0
Easiest ways to discover classic console remakes,Garou: Mark of the Wolves,2005,0.7496193647384644,"Nov 26, 1999","['SNK Corporation', 'SNK']","If you thought you'd seen the last of the incredible Garou: Mark of The Wolves series, you were sorely mistaken. Join classic brawlers and fresh finds (there are 11 new additions in all) for the fighting experience of the decade. The game's three unique modes of play include Offensive, Defensive, and Tactical, and there are plenty of Super Moves and Hidden Abilities to unlock. The realm of 2D fighting has rarely been this exciting, and it gets even more addicting when you play against a friend.","['Windows PC', 'Android', 'Xbox 360', 'PlayStation 4', 'iOS', 'Arcade', 'Neo Geo MVS', 'PlayStation 2', 'PlayStation Vita', 'Neo Geo AES', 'Dreamcast']","['Arcade', 'Fighting']",4.1,1600.0,17.0,335.0,181.0,392.0,84.0,,0
Easiest ways to discover classic console remakes,The Elder Scrolls IV: Oblivion - Game of the Year Edition,3345,0.7493243217468262,"Sep 10, 2007","['Bethesda Game Studios', '2K Games']","The Elder Scrolls IV: Oblivion Game of the Year Edition presents one of the best RPGs of all time like never before. Step inside the most richly detailed and vibrant game-world ever created. With a powerful combination of freeform gameplay and unprecedented graphics, you can unravel the main quest at your own pace or explore the vast world and find your own challenges. Also included in the Game of the Year edition are Knights of the Nine and the Shivering Isles expansion, adding new and unique quests and content to the already massive world of Oblivion. See why critics called Oblivion the Best Game of 2006.","['Windows PC', 'Xbox 360', 'PlayStation 3']","['Adventure', 'RPG']",4.0,1100.0,50.0,442.0,57.0,134.0,56.0,,0
Easiest ways to discover classic console remakes,Bubble Bobble: Old & New,12330,0.7469586133956909,"Oct 28, 2004","['Empire Interactive Entertainment', 'Taito Corporation']","No one has ever been able to say just why Bubble Bobble is so much fun, but its mixture of cute baby dinosaurs, candy, and bubbles should give those new to the game an idea. Battle your way through over 100 levels of frantic bubble mayhem. Capture your enemies in bubbles then pop them with your spiky back to clear each stage. Find your way to the bottom of the 100-level cave and save a damsel in distress. Fortunately, if you've never experienced the glee for yourself, all of those elements are back in force in Bubble Bobble Old & New for Game Boy Advance. The game closely follows the original Bubble Bobble arcade classic, but splices together two gaming generations while employing the same graphics and gameplay structure as the original. It also took inspiration from the sequel, Rainbow Islands released in 1989.",['Game Boy Advance'],['Platform'],2.9,20.0,2.0,9.0,5.0,4.0,2.0,,2
Easiest ways to discover classic console remakes,Super Monkey Ball Deluxe,5450,0.7464632987976074,"Mar 15, 2005",['Amusement Vision'],"This game is basically a fusion of Super Monkey Ball 1 and 2 for the PS2 and XBox. All of the levels from those two games are available in this collection, and all of the minigames are already unlocked and included. Formerly only available to GameCube players, the Super Monkey Ball series has made it to the PS2 and Xbox after a wait of almost 3 and a half years.
The game itself plays very much like the old arcade game Marble Madness. You control a monkey in a ball, and you have to navigate it through many perilous labyrinths to the finish. In the previous two games you had limited lives/tries, but here you have infinite lives, which makes it all the easier.","['Xbox', 'PlayStation 2']","['Platform', 'Puzzle']",4.0,351.0,6.0,80.0,61.0,90.0,34.0,,0
Easiest ways to discover classic console remakes,Mega Man: The Sequel Wars,2124,0.7472982406616211,"May 23, 2023",[],"Mega Man: The Sequel Wars is a fan-made homebrew remake of Mega Man 4, 5 and 6 for the Sega Mega Drive, following in the footsteps of the officially released Mega Man: The Wily Wars. It aims to carefully recreate the NES classics while giving them a fresh 16-bit coat of paint and a rearranged soundtrack. More than that however, it also aims to bring a slew of new content, both through complete re-imaginings of the classics in EX Mode and a new gauntlet of levels in Wily Tower 2. And it all runs on the original Mega Drive hardware!",['Sega Mega Drive/Genesis'],"['Platform', 'Shooter']",4.2,18.0,4.0,20.0,15.0,11.0,4.0,,0
Easiest ways to discover classic console remakes,Metro Redux,22200,0.7470114827156067,"Aug 25, 2014","['Deep Silver', '4A Games']","Metro Redux is the ultimate double game collection, including the definitive versions of both Metro 2033 and Metro: Last Light, each rebuilt in the latest and greatest iteration of the 4A Engine for next-gen consoles and PC.
For the first time, console owners can expect smooth 60FPS gameplay and state of the art visuals that were once only available on high-end PC hardware.
Newcomers to the series will get the chance to experience two of the finest story-driven shooters of all time in one vast package; an epic adventure combining gripping survival horror, exploration and tactical combat and stealth.
Fans of the original games will find the unique world of Metro transformed with incredible new lighting, physics and dynamic weather effects, as well as a host of gameplay improvements and new features.","['Windows PC', 'Mac', 'Linux', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Xbox Series']","['RPG', 'Shooter']",3.7,435.0,17.0,240.0,55.0,55.0,16.0,,3
Easiest ways to discover classic console remakes,Worms Armageddon,2063,0.7528475522994995,"Jan 29, 1999","['Team17', 'Infogrames Europe']","Those intrepid invertebrates return with a vengeance in the much-loved Worms Armageddon. It’s a whole new can of worms! It’s hilarious fun that you can enjoy on your own or with all your friends.
Worms Armageddon was originally developed as an expansion pack to Worms 2 and initially titled Wormageddon before it was released as a standalone game. Worms Armageddon was acclaimed by critics, who praised the refined gameplay and stylized graphics, and it has been featured in a number of ""greatest games of all time"" lists. Worms Armageddon is still updated periodically as of 2020, and was released on the Steam platform in 2013.","['Windows PC', 'PlayStation 4', 'PlayStation 3', 'PlayStation', 'Nintendo 64', 'PlayStation 5', 'Dreamcast', 'PlayStation Portable']","['Platform', 'Shooter', 'Strategy']",3.8,2300.0,17.0,164.0,67.0,218.0,69.0,,2
Easiest ways to discover classic console remakes,Sega Ages 2500 Series Vol. 33: Fantasy Zone Complete Collection,40646,0.7489333152770996,"Sep 11, 2008","['Sega', '3D Ages']","This game contain every game released in the Fantasy Zone series (bar the redemption game), plus several ""new"" ones. The games are emulated, though there are handful of extra options to ""improve"" many of them.
Also included is Fantasy Zone Neo Classic which is an updated port of the Famicom version of Fantasy Zone, and Fantasy Zone II DX - a remastered version of Fantasy Zone II to look and feel as if it were running on Sega System 16 hardware.
The collection also includes development material for Fantasy Zone II, assorted other concept art, cover art masters, full cover/manual scans for the included games's Japanese, US, and European releases, and full flyer scans for the Japanese and English releases of the arcade games (including the redemption game).",['PlayStation 2'],"['Arcade', 'Shooter']",,1.0,0.0,0.0,1.0,1.0,0.0,,3
