Query,Title,ID,Similarity,Release_Date,Developers,Summary,Platforms,Genres,Rating,Plays,Playing,Backlogs,Wishlist,Lists,Reviews,Developer,Score
AAA games,Ken Griffey Jr. Presents Major League Baseball,38448,0.5690915584564209,"Mar 01, 1994","['Software Creations', 'Nintendo']","Ken Griffey Jr Presents Major League Baseball is a baseball simulation featuring Ken Griffey Jr. of the ""Nintendo Owned"" Seattle Mariners. This licensed game allows you to play with all 28 Major League Teams in their own stadiums and over 700 player names (not likenesses). You control your pitcher or batter as well your fielders. The game allows you to play and save a 26, 78 or 162 game season.",['SNES'],"['Arcade', 'Sport']",3.3,75.0,1.0,7.0,2.0,23.0,3.0,,0
AAA games,Game Chest: Board Games,31197,0.8476849734765497,TBD,[],,[],[],,0.0,0.0,0.0,0.0,0.0,0.0,,0
AAA games,Granatha Eternal,32553,0.8476849734765497,TBD,[],NEOWIZ GAMES Corporation,[],[],,0.0,0.0,0.0,1.0,0.0,0.0,,0
AAA games,Gaelic Games: Football 2,39243,0.8461309279936815,"Nov 07, 2007",[],Gaelic Games: Football 2 is the second game in the Gaelic Games franchise.,['PlayStation 2'],['Sport'],,3.0,0.0,1.0,0.0,1.0,2.0,,0
AAA games,Girl and Boy dressup miraculous games,25137,0.7788079831649872,TBD,[],,[],[],,0.0,0.0,0.0,0.0,1.0,0.0,,0
AAA games,Guns of Mercy,27167,0.7788079831649872,TBD,['Storybird Games'],,[],[],,1.0,0.0,0.0,2.0,0.0,0.0,,0
AAA games,Mujo,22107,0.7719043159084564,"Nov 30, 2017",['Oink Games'],A puzzle game from Oink Games Inc.,['Nintendo Switch'],['Puzzle'],,4.0,0.0,1.0,2.0,0.0,0.0,,0
AAA games,Skyblock Hunter Survival Games,31025,0.8476849734765497,TBD,[],,[],[],,0.0,0.0,0.0,0.0,0.0,0.0,,0
AAA games,Carnal Instinct,25295,0.2053370813223967,"Mar 01, 2021",,"Carnal Instinct is an Adult RPG with an emphasis on AAA quality visuals and compelling erotic interaction. You enter the world of Sabu a slave, but will forge your own destiny and shape the world itself in this realm of ancient gods, mythical creatures, and boundless lust.",Windows PC,RPG,3.0,4.0,1.0,0.0,3.0,1.0,0.0,Team Carnal Instinct,0
AAA games,Summer Road,27413,0.250985667458098,TBD,,"Summer Road is a new RPG based on the concept of playing RPGs more casually. It targets people who are tired of AAA RPGs and want to play in a short time, and want to immerse themselves in nostalgia.",,RPG,,0.0,0.0,1.0,1.0,0.0,0.0,,0
