Query,Title,ID,Similarity,Release_Date,Developers,Summary,Platforms,Genres,Rating,Plays,Playing,Backlogs,Wishlist,Lists,Reviews,Developer,Score
Anime-inspired ARPGs on Switch,ReTux,37715,0.7529580593109131,"Jul 16, 2016",[],"ReTux is a 100% libre software and 100% libre culture action platformer loosely inspired by the Mario games, utilizing the art assets from the SuperTux project. The name ""ReTux"" is a play on the words ""redux"" and ""Tux"".
Although ReTux re-uses the art assets of SuperTux, no code from SuperTux is used in ReTux. The software portion of ReTux is entirely new, written in Python and based on the SGE Game Engine. ReTux also has several distinctions in its gameplay compared to both SuperTux and the Mario games.
More information, screenshots, videos, and downloads can be found on the official website:
http://retux.nongnu.org","['Windows PC', 'Mac', 'Linux']","['Indie', 'Platform']",,0.0,0.0,0.0,0.0,0.0,0.0,,2
Anime-inspired ARPGs on Switch,Whirled,33212,0.7512993812561035,TBD,[],"Whirled is a virtual world website and video game created by Three Rings Design. Its Open Beta stage was announced at the Game Developers Conference in 2007. It makes use of Adobe Flash as an applet embedded into the website while also having pages of HTML and JavaScript in a sidebar to allow players to manage their friends list and browse various categories of user-generated content.
The concept is comparable to the virtual worlds in the PlayStation 3 game Home and Second Life, while also incorporating aspects of feed-based social media sites like Facebook and Twitter. It pushes to make all content user-created, mainly with its approach to creative accessibility using Flash's affinity for 2D vector graphics and various web compatibilities to make it very simple for players to upload a wide variety of content using simple, conventional file formats.
Upon Grey Havens releasing the source code for Whirled under their BSD License, several mirror sites formed. While they had no access to the original database, a lot of content was copied across to create a similar experience managed by the community.
The Whirled Club is the only mirror sites that is active at the moment. You can download the client here to load flash content [ https://wcmedia.xyz/client/wcclient-v1.1.2-setup.exe ].
Source: Wikipedia",[],[],3.1,8.0,1.0,0.0,0.0,2.0,2.0,,1
Anime-inspired ARPGs on Switch,Worms Clan Wars,33814,0.7518698573112488,"Aug 15, 2013",['Team17'],"Worms Clan Wars is an artillery-strategy game developed in the Worms series.
Many gameplay features from previous Worms games return, such as water mechanics and Physics Objects. The classes system which was introduced in Worms Revolution also returned. A day and night system was also introduced.
Customisation has a large role. Players can create emblems, team flags and landscapes with the landscape editor. With Steam Workshop Integration players can create custom content for their worms.
Many weapons such as the Concrete Donkey, Holy Hand Grenade and Bovine Blitz (from Worms 4 and Worms: Ultimate Mayhem) return. New weapons include Mega Mortar, Gravedigger, and The Equalizer.
Worms Clan Wars features WormNET which serves as a lobby and chat system allowing players to keep in touch. Clan systems will play a large role during multiplayer. A companion app as well as a Web Portal allows players to track their multiplayer statistics when offline or on the go.",['Windows PC'],"['Platform', 'Strategy', 'Turn Based Strategy']",3.1,144.0,2.0,37.0,4.0,16.0,4.0,,0
Anime-inspired ARPGs on Switch,Halo 5: Forge,33596,0.7531392574310303,"Sep 08, 2016","['343 Industries', 'Microsoft Studios']","For years, Halo’s “Forge” mode on console has empowered Halo fans to create new maps and game modes that have changed the way people play and experience Halo. The level editor is responsible for legendary community-created classics such as Grifball and new favorites like Flapjack Frenzy and Ground Pound Arena. With Halo 5: Forge, the entire Forge experience from Halo 5: Guardians comes to Windows 10, with support for mouse and keyboard, the ability to host and play custom matches for up to 16 players, and a new content browser that spans platforms. Download new levels from the Forge community created on either Windows 10 or Xbox One. Customize existing maps or create your own from scratch. Halo 5: Forge opens the door to new possibilities in Halo 5: Guardians and beyond.",['Windows PC'],['Shooter'],2.7,49.0,0.0,3.0,3.0,2.0,3.0,,0
Anime-inspired ARPGs on Switch,Mighty Gunvolt Burst,5996,0.7386983633041382,"Jun 15, 2017",['Inti Creates'],"""The Mighty Gunvolt series is back with Might Gunvolt Burst!
The game systems have been completely revamped and powered up with lots of new additions, including a deep character customiztion system that lets you mold and shape your character into the ultimate hero that works best for you!
The classic pixel style graphics have also been completely redone to blur the line between 8-bit and 16-bit and take you back to the golden age of 2d action games!
Gunvolt from Azrue Striker Gunvolt 2 and Beck from Mighty No.9 make their return as playable characters!
Find out what happens when their home worlds intertwine int the realm of virtual reality!""","['Windows PC', 'Nintendo 3DS', 'Nintendo Switch']","['Indie', 'Platform', 'Shooter']",3.4,291.0,9.0,133.0,60.0,69.0,23.0,,1
Anime-inspired ARPGs on Switch,Scribblenauts Remix,35007,0.7533091306686401,"Oct 12, 2011","['5th Cell', 'WB Games']","Scribblenauts Remix is an emergent action puzzle game developed by 5th Cell and Iron Galaxy Studios and published by Warner Bros. Interactive on October 12, 2011. The game provides forty levels from both Scribblenauts and its sequel, Super Scribblenauts along with ten new levels for iOS and Android. The mechanics of the game are based on Super Scribblenauts, allowing for the use of adjectives in addition to nouns. The game uses built-in features of iOS, such as the touch keyboard, and was released simultaneously with iOS version 5, incorporating new features such as cloud storage via iCloud to play the game across multiple devices. The game also features Game Center integration.","['Android', 'iOS']","['Platform', 'Puzzle']",3.0,131.0,1.0,9.0,11.0,5.0,4.0,,0
Anime-inspired ARPGs on Switch,Agar.io,1238,0.7635941505432129,"Apr 28, 2015","['Miniclip.com', 'Matheus Valadares']","Agar.io is a Massively-multiplayer top-down strategy browser game. In Agar.io, the player manipulates a circular cell using the mouse and keyboard buttons. The goal of the game is to enlarge the cell by swallowing non-player cells which are randomly scattered around the map. Other players that have smaller cells than the player are also able to be swallowed. Originally a browser game, Agar.io entered Steam Greenlight and was subsequently ""Greenlit"" by the community, with the developers indicating that they planned to add more features not available in the web version of the game.
Agar.io has quickly become popular worldwide. Before the Turkish 2015 elections, Agar.io has been used in Turkey for political reasons; some political parties have also used Agar.io in campaign posters as a symbol of support.
Players can also use skins.","['Windows PC', 'Android', 'Mac', 'Linux', 'iOS', 'Web browser']","['Indie', 'Strategy']",2.2,5000.0,9.0,51.0,13.0,92.0,140.0,,0
Anime-inspired ARPGs on Switch,Spelunky,1094,0.7490438222885132,"Jul 04, 2012","['Microsoft Studios', 'Mossmouth']","Spelunky (also known as Spelunky HD) is a remake of Spelunky (now known as Spelunky Classic), an open source indie platformer video game created by Derek Yu and originally released as freeware for Microsoft Windows. The player controls a spelunker who explores a series of caves while collecting treasure, saving damsels, fighting enemies and dodging traps. The caves are procedurally generated, making each run through the game unique. Spelunky is one of the first examples of a roguelike-like, borrowing concepts from the roguelike genre, and was the influence for many later roguelike-like games.","['Windows PC', 'Xbox 360', 'PlayStation 4', 'PlayStation 3', 'PlayStation Vita', 'Nintendo Switch']","['Adventure', 'Indie', 'Platform']",3.8,4200.0,84.0,985.0,368.0,519.0,171.0,,1
Anime-inspired ARPGs on Switch,Advance Wars by Web,33445,0.7531951665878296,"Mar 31, 2004",[],"Advance Wars by Web (aka. AWBW) is an unofficial site created by Aaron Marriner in 2004 that allows people to play Advance Wars multiplayer online in a web browser. AWBW is primarily based upon Advance Wars 2: Black Hole Rising with select gameplay elements added in from Advance Wars 1 and Advance Wars: Dual Strike, but also expands upon the vanilla experience by including a wider selection of COs than any previous game in the series, up to 16 players per match, additional content and quality-of-life (and some bugs and glitches here and there) and a broad array of community-focused features such as custom maps, spectator controls, replays and a ranked matchmaking system.",['Web browser'],['Turn Based Strategy'],,0.0,0.0,1.0,1.0,2.0,0.0,,0
Anime-inspired ARPGs on Switch,Infinifactory,13446,0.7489159107208252,"Jun 30, 2015",['Zachtronics'],"Infinifactory is a sandbox puzzle game by Zachtronics, the creators of SpaceChem and Infiniminer. Build factories that assemble products for your alien overlords, and try not to die in the process. 

LIKE SPACECHEM… IN 3D! Design and run factories in a first-person, fully 3D environment. 
HISTOGRAMS ARE BACK! Optimize your solutions, and then optimize them more when you see how much better your friends did. 
VISIT EXOTIC ALIEN LOCALES! Explore a story-driven campaign with 30+ puzzles, audio logs, and more. 
BLOCKS THAT MOVE! Go beyond the campaign and push the limits of Infinifactory’s next-generation block engine in the sandbox. 
STEAM WORKSHOP INTEGRATION! Create, share, and play custom puzzles on Steam Workshop.","['Windows PC', 'Mac', 'Linux', 'PlayStation 4']","['Indie', 'Puzzle', 'Simulator']",3.8,214.0,14.0,113.0,43.0,41.0,10.0,,0
Anime-inspired ARPGs on Switch,Tetris Effect: Connected,867,0.7440955638885498,"May 14, 2020","['Enhance', 'Resonair']","Tetris Effect: Connected adds an all-new robust multiplayer expansion to the huge variety of addictive and innovative single-player modes that Tetris Effect is known for. Connect and play with or against each other in all-new modes like ""Zone Battle,"" which shakes up traditional 1-on-1 Tetris gameplay via the time-stopping Zone mechanic, or try the innovative co-op of ""Connected"" mode, where up to three players can literally connect their Tetris playfields together and play as one, as they work together to take down a series of increasingly-challenging CPU-controlled bosses.","['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series', 'Oculus Quest', 'Oculus Quest 2', 'Playstation VR2']","['Arcade', 'Indie', 'Music', 'Puzzle']",4.2,2400.0,137.0,274.0,236.0,426.0,249.0,,0
Anime-inspired ARPGs on Switch,XCOM: Enemy Within,2646,0.7434632778167725,"Nov 12, 2013","['Feral Interactive', 'Firaxis Games']","XCOM: Enemy Within is a non-console expansion pack for XCOM: Enemy Unknown, a turn-based tactical strategy game. The expansion adds the ability to gene mod soldiers to add to their powers as well as the ability to create MECs, powerful robotic soldiers. These new features are created by collecting a resource called Meld on the tactical battlefield. A number of new maps were also added to the tactical game, as well as multiplayer. The PC version of Enemy Within is an add-on that requires the base game Enemy Unknown. The Console version of Enemy Within is a standalone expansion that does not require the base game Enemy Unknown.","['Windows PC', 'Mac', 'Linux', 'iOS']","['Strategy', 'Turn Based Strategy']",4.1,865.0,12.0,184.0,64.0,79.0,31.0,,0
Anime-inspired ARPGs on Switch,Marble Marcher,23075,0.7378242015838623,"Jan 01, 2019",['CodeParade'],"Marble Marcher is entirely ray-marched (similar to ray-tracing) in real time and is played on the surface of evolving fractals. The goal is to get your marble to the goal as quickly as possible. There are 24 unique levels to master. 

This game is the result of a fractal physics engine developed by CodeParade that allows fast collisions with fractals and other procedurally rendered objects. As far as I'm aware, it is the first game to ever use this technique. 

The game is also open source: https://github.com/HackerPoet/MarbleMarcher",['Windows PC'],"['Platform', 'Racing']",2.8,13.0,0.0,2.0,3.0,6.0,1.0,,0
Anime-inspired ARPGs on Switch,Anime Freak FX Vol. 4,33604,0.2736097013320002,TBD,,Anime Freak FX Vol. 4,,Adventure,,2.0,0.0,0.0,0.0,1.0,0.0,,3
Anime-inspired ARPGs on Switch,AstroRock,31837,0.5226121189883263,TBD,[],A music focused take on the classic Asteroids,[],[],,1.0,0.0,0.0,0.0,0.0,0.0,,1
Anime-inspired ARPGs on Switch,Crazy Sue goes on,13348,0.5226121189883263,"Oct 01, 1992",[],,['Amiga'],['Platform'],,1.0,0.0,0.0,0.0,2.0,0.0,,0
Anime-inspired ARPGs on Switch,PolitiCats,8749,0.5226121189883263,TBD,[],Free clicker game released on android and ios.,[],[],,4.0,0.0,0.0,0.0,0.0,0.0,,0
Anime-inspired ARPGs on Switch,Turn on the Light,33565,0.5289013382113751,"Jul 07, 2020",[],Turn On The Light is a minimalist puzzle game.,"['Windows PC', 'Linux']",['Indie'],,2.0,0.0,0.0,0.0,0.0,0.0,,0
Anime-inspired ARPGs on Switch,Dog Show Friends,14968,0.5289013382113751,TBD,['4mm Games'],A game based on The National Dog Show broadcast on NBC,['Web browser'],['Simulator'],,1.0,0.0,0.0,0.0,1.0,0.0,,0
Anime-inspired ARPGs on Switch,Rock On,38644,0.5567758721664242,"Sep 22, 1989",[],Rock On is a classic shoot em up game.,['TurboGrafx-16/PC Engine'],['Shooter'],,2.0,0.0,4.0,0.0,2.0,0.0,,0
Anime-inspired ARPGs on Switch,On Bees,20234,0.5633300729964806,"May 15, 2015",['Maddox Pratt'],,['Web browser'],[],,1.0,0.0,1.0,0.0,1.0,0.0,,0
Anime-inspired ARPGs on Switch,Retro City Rampage DX,4085,0.7397640347480774,"Feb 05, 2014","['Vblank Entertainment', 'Vblank Entertainment, Inc.']","Open-world carjacking goes back to the '80s in this 8-BIT nostalgic throwback.
Run missions! Outrun the law! Rampage the city with weapons, power-ups and vehicles.
This send-up to '80s and '90s video games and pop-culture includes both a full Story Mode of open-world adventure as well as an Arcade Mode for quick pick-up-and-play action. If that's not enough, it also packs an interactive city full of shops, minigames, customizations, collectibles, special guest stars, and more.","['Windows PC', 'Android', 'Mac', 'Linux', 'PlayStation 4', 'iOS', 'PlayStation 3', 'Wii', 'Nintendo 3DS', 'PlayStation Vita', 'Nintendo Switch', 'PlayStation Portable']","['Adventure', 'Arcade', 'Indie', 'Racing', 'Shooter']",2.9,507.0,4.0,172.0,50.0,52.0,16.0,,1
Anime-inspired ARPGs on Switch,Hugo Troll Race,7702,0.5633300729964806,TBD,[],Hugo races on a handcart.,[],['Racing'],,2.0,0.0,0.0,0.0,0.0,0.0,,0
