Query,Title,ID,Similarity,Release_Date,Developers,Summary,Platforms,Genres,Rating,Plays,Playing,Backlogs,Wishlist,Lists,Reviews,Developer,Score
Best puzzle-adventure games for Nintendo Switch Lite,Skyblock Hunter Survival Games,31025,0.8476849734765497,TBD,[],,[],[],,0.0,0.0,0.0,0.0,0.0,0.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,X-COM: em@il Games,29490,0.8476849734765497,TBD,[],,[],[],,0.0,0.0,0.0,0.0,0.0,0.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Mu-Cade,25853,0.8476849734765497,TBD,['ABA Games'],,[],[],,1.0,0.0,0.0,0.0,0.0,0.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Zone of the Enders HD Collection,4230,0.7266784906387329,"Oct 25, 2012","['Konami', 'Kojima Productions']","Zone of the Enders HD Edition (Zone of the Enders HD Collection outside Japan) is a re-release of Zone of the Enders and Zone of the Enders: The 2nd Runner for the Playstation 3 and Xbox 360 consoles. The collection refines the textures and graphics and The 2nd Runner game comes with the Special Edition content that was released only in Japan and Europe, an import soundtrack featuring remixes of the music featured in the series, along with a demo of Metal Gear Rising: Revengeance. It also has a new Opening Movie, set to the Theme of Z.O.E. 2, Beyond the Bounds, animated by Sunrise. The collection was released in North America on October 30, 2012 and was released in Europe on November 30, 2012.","['Xbox 360', 'PlayStation 3']","['Brawler', 'Shooter']",3.7,222.0,6.0,203.0,51.0,56.0,4.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Fortress Fury,18106,0.8588373905099644,TBD,['XREAL Games'],A 1 vs. 1 competitive strategy game for mobile devices.,['iOS'],[],,0.0,0.0,0.0,0.0,0.0,0.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Marine Heavy Gunner: Vietnam,28312,0.8662556440327014,"Aug 22, 2004","['Brainbox Games', 'Groove Games']",,['Windows PC'],['Shooter'],1.7,6.0,0.0,0.0,0.0,3.0,2.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Vampire Rage,38116,0.9166188128472929,TBD,[],A vertical scrolling shooter for Xbox Live Indie Games.,[],['Shooter'],,1.0,0.0,0.0,0.0,1.0,0.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Idle Human,24211,0.9198899908184028,"Aug 02, 2019","['Funcell Games', 'Green Panda Games']",,"['Android', 'iOS']",['Simulator'],,2.0,0.0,0.0,0.0,2.0,0.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,After Dark Games,35861,0.926200503214866,TBD,[],,[],[],3.8,5.0,0.0,1.0,2.0,1.0,0.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,PictureBook Games: The Royal Bluff,36341,0.853799466188309,"Sep 16, 2009",['Nintendo'],PictureBook Games: The Royal Bluff for DSiWare,['Nintendo DSi'],['Quiz/Trivia'],,0.0,0.0,1.0,0.0,1.0,0.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,123 Animal Math Games For Kids,8909,0.853799466188309,"Nov 25, 2014",['Eggroll Games'],The first entry in the 123 Animal Math series.,['Ouya'],[],,1.0,1.0,0.0,0.0,0.0,0.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Wally and the Fantastic Predators,36991,0.2400331170315789,"Sep 03, 2019",,"The fastest rogue-lite ever created! The dungeon is alive, pissed that you keep killing all his friends, so he vows to make your life miserable by any means necessary.",Windows PC | PlayStation 4 | Xbox One | Nintendo Switch,Arcade | Fighting | Indie | RPG | Shooter,,2.0,0.0,8.0,6.0,4.0,0.0,Oscar Gonzalez,10
Best puzzle-adventure games for Nintendo Switch Lite,Fire: Ungh's Quest,18231,0.2392513391555196,"Oct 20, 2016",,Point-and-click adventure game,Wii U | Nintendo Switch,Adventure | Puzzle,2.8,6.0,0.0,5.0,0.0,3.0,0.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Moonlighter,1214,0.2388931283695168,"May 29, 2018",,"Moonlighter is an Action RPG with rogue-lite elements that demonstrates two sides of the coin – revealing everyday routines of Will, an adventurous shopkeeper that secretly dreams of becoming a hero.",Windows PC | Android | Mac | Linux | PlayStation 4 | iOS | Xbox One | Nintendo Switch | Google Stadia,Adventure | Brawler | Indie | RPG | Simulator,3.2,2500.0,153.0,1400.0,366.0,333.0,145.0,Digital Sun Games | 11 bit studios,10
Best puzzle-adventure games for Nintendo Switch Lite,Bakushow,9835,0.926200503214866,TBD,['Rising Star Games'],,[],[],,1.0,0.0,2.0,1.0,2.0,0.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Avatar Adventurers Online,33559,0.2377770979204626,TBD,,"Players take their 360 Avatars online in this ""MMO lite"", XBLA Indie game.",,RPG,,1.0,0.0,0.0,0.0,0.0,0.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Mixups 2 by Powgi,12058,0.2342186378450361,"Oct 25, 2018",,,Nintendo Switch,,,1.0,0.0,0.0,0.0,0.0,0.0,Lightwood Games,10
Best puzzle-adventure games for Nintendo Switch Lite,Syberia 1 & 2,25289,0.2340530033825107,"Nov 08, 2018",,This version includes two complete games: Syberia and Syberia 2.,Nintendo Switch,Adventure | Puzzle,3.7,19.0,4.0,41.0,7.0,6.0,0.0,Microids,10
Best puzzle-adventure games for Nintendo Switch Lite,Arboria,12747,0.2319148545176694,"May 07, 2020",,"Begin your journey in this dark fantasy rogue-lite. As a warrior, a Yotun, descend into the ever-changing Durnar and uncover the mysteries of your tribe. Use a variety of Symbiotic Weapons to fight enemies and mutate to become even stronger.",Windows PC,Adventure | Indie | RPG,1.9,11.0,2.0,10.0,9.0,3.0,0.0,All In! Games | Dreamplant,10
Best puzzle-adventure games for Nintendo Switch Lite,Ever Forward,30900,0.2285124409566309,"Aug 13, 2020",,A girl trapped in a strange world somewhere between reality and imagination. Help her find her way in this adventure puzzle game.,Windows PC | PlayStation 4 | Xbox One | PlayStation 5 | Nintendo Switch,Adventure | Indie | Puzzle,2.2,23.0,0.0,18.0,20.0,6.0,1.0,PM Studios | Pathea Games,10
Best puzzle-adventure games for Nintendo Switch Lite,Retro City Rampage,3704,0.728256344795227,"Oct 09, 2012",['Vblank Entertainment'],"Retro City Rampage is a downloadable action-adventure video game for WiiWare, Xbox Live Arcade, PlayStation Network and Microsoft Windows developed by Vblank Entertainment. It is a parody of retro games and '80s and '90s pop culture, as well as Grand Theft Auto and similar games. It was released on October 9, 2012, for PlayStation 3, PlayStation Vita, Microsoft Windows; on January 2, 2013, for Xbox Live Arcade; and on February 28, 2013, for WiiWare. Retro City Rampage was the last original game released for the WiiWare service globally until Deer Drive Legends was ported to the service the following November.","['Windows PC', 'Xbox 360', 'PlayStation 3', 'Wii', 'Nintendo 3DS', 'PlayStation Vita']","['Adventure', 'Arcade', 'Indie', 'Puzzle', 'Racing', 'Shooter']",2.9,210.0,1.0,56.0,20.0,29.0,4.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Puyo Pop Fever,6406,0.7277668118476868,"Nov 26, 2003","['Sega', 'Sonic Team']","Updated version of the classic Puyo Puyo puzzle game featuring the all-new ""fever"" mode. Better known in the west under the titles Puyo Pop, Kirby's Avalanche and Dr. Robotnik's Mean Bean Machine, Puyo Pop Fever still follows the classic bubble-popping format (align four or more ""puyos"" to make them pop), but Sega also delivers completely overhauled visuals with a more hand-drawn look, an expanded roster of characters, and a new ""Fever Mode"" that cranks up the action to frantic degrees once players fill a ""fever gauge"" on their screen. Although a four-player mode didn't make the cut, two players can go head to head and compete for points or survival.","['Windows PC', 'Mac', 'Nintendo GameCube', 'Xbox', 'Arcade', 'PlayStation 2', 'Dreamcast', 'PlayStation Portable', 'Palm OS']","['Music', 'Puzzle', 'Strategy']",3.5,389.0,3.0,106.0,78.0,96.0,22.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,The Legend of Zelda: Phantom Hourglass,572,0.7276666164398193,"Jun 23, 2007","['Nintendo', 'Nintendo EAD Software Development Group No.3']","The Legend of Zelda: Phantom Hourglass is the first Zelda game for the Nintendo DS and a direct sequel to The Wind Waker. The art direction is the same cel-shaded style as the Wind Waker but is displayed from a classic top-down perspective. The gameplay is structured similarly to other games in the series and is divided into two major gameplay sections: sailing between islands and exploring the islands and their dungeons on foot. The touch screen is used to make Link move and attack instead of buttons, you can also make notes of secret treasures and items on the map simply by writing them down. The game received critical acclaim from reviewers, who agreed that the game was a worthy sequel to The Wind Waker.","['Wii U', 'Nintendo DS']","['Adventure', 'Puzzle', 'RPG']",3.3,7500.0,109.0,1900.0,684.0,851.0,219.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Winter X Games SnoCross,28162,0.926200503214866,TBD,[],,[],[],3.0,3.0,0.0,0.0,0.0,0.0,0.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Football Games Room,31640,0.926200503214866,TBD,[],,[],[],,1.0,0.0,0.0,0.0,1.0,0.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Space Bandit,7519,0.2402819197125841,"Jul 29, 2022",,A rogue-lite top down shooter with crazy firefights and clever AI.,Windows PC | Linux,Indie,,0.0,0.0,2.0,3.0,0.0,0.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,The King of Fighters '95,2903,0.7304755449295044,"Jul 25, 1995","['SNK', 'Nintendo']","The King of Fighters '95 is a 1995 fighting game produced by SNK for the Neo Geo arcade and home console. It is the sequel to The King of Fighters '94 and the second game in The King of Fighters series. It is also the first game in the series to be ported to other home consoles besides the Neo Geo AES and Neo-Geo CD, with versions released for the PlayStation, Sega Saturn and Game Boy. It was also rereleased in The King of Fighters Collection: The Orochi Saga in 2008 for the PlayStation 2, PlayStation Portable and Wii.","['Neo Geo CD', 'Arcade', 'Sega Saturn', 'Wii', 'PlayStation', 'Neo Geo MVS', 'Neo Geo AES', 'Nintendo Switch']","['Arcade', 'Fighting']",3.1,745.0,2.0,86.0,49.0,127.0,26.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Board Games Gallery (10 Games),38927,1.3723631296926082,TBD,[],,[],[],,0.0,0.0,0.0,0.0,1.0,0.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Mujo,22107,0.3781486279578097,"Nov 30, 2017",,A puzzle game from Oink Games Inc.,Nintendo Switch,Puzzle,,4.0,0.0,1.0,2.0,0.0,0.0,Oink Games,10
Best puzzle-adventure games for Nintendo Switch Lite,Bingo for Nintendo Switch,26294,0.337605259269681,"Mar 15, 2018",,"Bingo anywhere, anytime! Bingo for Nintendo Switch!",Nintendo Switch,Puzzle,,4.0,0.0,2.0,2.0,0.0,1.0,Starsign,10
Best puzzle-adventure games for Nintendo Switch Lite,Sneaky Funk,17160,0.3200504102157372,"Feb 01, 2023",,"Sneaky Funk is a melee-based, rogue-lite action dungeon crawler game with a focus on letting the player choose their own play style rather than force you to dodge and shoot like many other top-down rogue-lite games.",Windows PC | Mac,Adventure | Indie | Strategy,,0.0,0.0,1.0,0.0,0.0,0.0,BoopityBap,10
Best puzzle-adventure games for Nintendo Switch Lite,Vicious Attack Llama Apocalypse,13589,0.2739329830821677,"Feb 26, 2018",,The world's best mass llama-slaughter roguelike-lite-ish couch co-op twin-stick top-down shooter.,Windows PC | Xbox One,Indie,2.1,22.0,1.0,20.0,1.0,8.0,3.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Die After Sunset,8428,0.2606969478144033,"Feb 11, 2022",,Die After Sunset is a 3rd person action rogue-lite shooter with a unique mechanic featuring light and darkness. Battle for Earth and travel through time as you defeat hordes of enemies and complete random quests to create the best build possible. Can you solve the mystery behind the Murkor invasion?,Windows PC | PlayStation 5 | Nintendo Switch,Adventure | Indie | Shooter,,3.0,0.0,1.0,1.0,2.0,0.0,Playstark | PQube Games,10
Best puzzle-adventure games for Nintendo Switch Lite,Smart Girl's: Party Games,36593,1.2771420080338858,TBD,['505 Games'],,[],[],,2.0,0.0,0.0,0.0,0.0,0.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Tekken 2,1632,0.7303566932678223,"Jun 21, 1995","['Namco', 'Namco Hometek']","Tekken 2 is the second game in the Tekken series. All of the characters from Tekken returned (with the exception of Jack, who is replaced by Jack-2 in this game). Eight new characters were added to the character roster (including Jack-2). The game features 25 playable characters. Released in arcades in 1995, and was released for the PlayStation in 1996 worldwide. Aside from winning rave reviews from the critics, it was the number one arcade game in America for 24 straight weeks and sold 3,000,000 copies worldwide on the PlayStation console. It had opening day sales of 250,000, which was a record at the time.","['PlayStation 3', 'Arcade', 'PlayStation', 'PlayStation Vita', 'PlayStation Portable']",['Fighting'],3.2,2300.0,11.0,184.0,111.0,339.0,74.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Freshly-Picked Tingle's Rosy Rupeeland,4205,0.7330339550971985,"Sep 02, 2006","['Vanpool', 'Nintendo']","Freshly-Picked Tingle's Rosy Rupeeland is an adventure video game developed by Vanpool and published by Nintendo for the Nintendo DS handheld game console. It was first released in Japan, and was released in Europe on September 14, 2007, a year after its Japanese release.
Freshly-Picked Tingle's Rosy Rupeeland stars Tingle, a character who has appeared in several games in The Legend of Zelda series starting from The Legend of Zelda: Majora's Mask for the Nintendo 64. It was commercially successful in Japan, selling 234,862 units by the end of 2007.",['Nintendo DS'],['Adventure'],3.4,187.0,5.0,206.0,129.0,95.0,14.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto,37217,0.7335753440856934,"Feb 02, 2017","['CyberConnect2', 'Namco Bandai Games']","Naruto Shippūden: Ultimate Ninja Storm 4 is the sixth and final instalment of the Ultimate Ninja Storm series developed by CyberConnect2 and published by Namco-Bandai games for the PlayStation 4, Xbox One, and Steam. It was released in February on the 4th in Japan, 5th in Europe and the 9th in North America. An enhanced edition called ""Road to Boruto"" was released on February 2nd, 2017 in Japan and on February 3rd, 2017 in North America & Europe for PlayStation 4, Xbox One, and Steam.","['Windows PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Adventure', 'Fighting', 'RPG']",3.5,684.0,11.0,94.0,24.0,86.0,29.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Pokémon LeafGreen,1014,0.733801007270813,"Jan 29, 2004","['Nintendo', 'Game Freak']","Pokémon LeafGreen Version and Pokémon FireRed Version are a pair of core series Generation III games that are set in the Kanto region. They were released in Japan on January 29, 2004, in North America on September 9, 2004, in Australia on September 23, 2004 and in Europe on October 1, 2004.
As the first remakes in the Pokémon franchise, the games revisit the original pair of Pokémon games, Pokémon Red and Green Versions, and so feature all of the characters, plot elements, and challenges of them, but with several important upgrades to bring them up to speed with other Generation III games.
The Game Boy Advance Wireless Adapter was initially included with the games when they were first released, eliminating the need for Game Link Cables when trading between the two games (and later Pokémon Emerald Version). In later copies, it was sold separately.
FireRed and LeafGreen went on to become the second best-selling games of the Game Boy Advance, only behind Pokémon Ruby and Sapphire Versions. They also received Nintendo's Player's Choice awards.",['Game Boy Advance'],"['Adventure', 'RPG', 'Turn Based Strategy']",3.8,6500.0,71.0,381.0,153.0,470.0,154.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Spongebob Squarepants: Plankton's Robotic Revenge,3239,0.7353261709213257,"Oct 11, 2013","['Behaviour Interactive', 'Activision']","SpongeBob SquarePants: Plankton's Robotic Revenge is an action-adventure video game based on the hit television series, SpongeBob SquarePants. It was released in October 2013 for Wii U, Wii, Nintendo 3DS, Nintendo DS, PlayStation 3, and Xbox 360. The game was developed by Behaviour Interactive and published by Activision, who took over the license from previous SpongeBob SquarePants video game publisher THQ after the company's bankruptcy and liquidation. This is also the first SpongeBob SquarePants game to be released for the PlayStation 3 and Wii U thus far, as well as the first SpongeBob SquarePants game to be rated E10+ by the ESRB.","['Wii U', 'Xbox 360', 'PlayStation 3', 'Nintendo DS', 'Wii', 'Nintendo 3DS']","['Adventure', 'Platform', 'Shooter']",1.9,158.0,2.0,38.0,17.0,21.0,11.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,Puyo Puyo Tetris,1667,0.7362537384033203,"Feb 06, 2014","['Sega', 'Sonic Team']","""Two puzzle game juggernauts collide as Tetris, one of the largest-selling and recognized brands in gaming history, and Puyo Puyo from SEGA have combined to create a fun-to-play, fast-paced, competitive party game like no other! The game has tons of different styles of gameplay – from the single-player Adventure and Challenge modes to the ferocious competition of the up-to-four player Arcade modes. There's plenty of Tetris/Puyo variety, even an in-game Shop where players can unlock new characters, new skins for Puyos and Tetriminos, new backgrounds and more.""","['Windows PC', 'Wii U', 'PlayStation 4', 'PlayStation 3', 'Nintendo 3DS', 'Xbox One', 'PlayStation Vita', 'Nintendo Switch']","['Puzzle', 'Strategy']",3.8,3300.0,60.0,357.0,210.0,255.0,151.0,,10
Best puzzle-adventure games for Nintendo Switch Lite,The Legend of Zelda: Breath of the Wild,1,0.7372484803199768,"Mar 03, 2017","['Nintendo', 'Nintendo EPD Production Group No. 3']","The Legend of Zelda: Breath of the Wild is the first 3D open-world game in the Zelda series. Link can travel anywhere and be equipped with weapons and armor found throughout the world to grant him various bonuses. Unlike many games in the series, Breath of the Wild does not impose a specific order in which quests or dungeons must be completed. While the game still has environmental obstacles such as weather effects, inhospitable lands, or powerful enemies, many of them can be overcome using the right method. A lot of critics ranked Breath of the Wild as one of the best video games of all time.","['Wii U', 'Nintendo Switch']","['Adventure', 'Puzzle']",4.4,35000.0,3100.0,5600.0,3000.0,5100.0,3000.0,,10
