Query,Title,ID,Similarity,Release_Date,Developer,Summary,Platforms,Genres,Rating,Plays,Playing,Backlogs,Wishlist,Lists,Reviews
the witcher 3,The Witcher 3: Wild Hunt,51,0.6769754872183493,"May 19, 2015",CD Projekt RED | Spike ChunSoft,"RPG and sequel to The Witcher 2 (2011), The Witcher 3 follows witcher Geralt of Rivia as he seeks out his former lover and his young subject while intermingling with the political workings of the wartorn Northern Kingdoms. Geralt has to fight monsters and deal with people of all sorts in order to solve complex problems and settle contentious disputes, each ranging from the personal to the world-changing.",Windows PC | PlayStation 4 | Xbox One | PlayStation 5 | Nintendo Switch | Xbox Series,Adventure | RPG,4.3,19000.0,1300.0,7100.0,1800.0,2300.0,944.0
the witcher 3,The Witcher,1500,0.5991502030294749,"Oct 26, 2007",Atari | CD Projekt RED,"Based on the novel series by Andrzej Sapkowski, The Witcher follows Geralt of Rivia, an amnesiac witcher (problem solver and slayer of monsters) whose home, the Kaer Morhen citadel, is besieged by an organization called the Salamandra, who steal their valuable potions and get away. Throughout the game, Geralt must resolve people's moral dilemmas, connect the dots of his past and track down the Salamandra.",Windows PC | Mac,Adventure | RPG,3.1,1800.0,66.0,632.0,193.0,252.0,84.0
the witcher 3,The Witcher: Side Effects,27696,0.595235061894792,"Sep 16, 2008",CD Projekt RED,"Side Effects is a fully voiced premium module for The Witcher, created by CD PROJEKT RED. It was released on September 16, 2008 as part of the The Witcher: Enhanced Edition.",Windows PC,Adventure | RPG,2.6,8.0,0.0,1.0,0.0,4.0,0.0
the witcher 3,The Witcher: Monster Slayer,39848,0.594644578541188,"Jul 20, 2021",Spokko,"The Witcher: Monster Slayer is a location-based augmented-reality RPG that challenges you to become a professional monster hunter. Venture out into the world around you and use your mobile device to track witcher-world monsters that roam close-by. Track these monsters and prepare for combat using time of day, weather conditions, and your witcher knowledge to gain an advantage on your quest to becoming an elite monster slayer.",Android | iOS,RPG,2.0,17.0,3.0,5.0,0.0,3.0,0.0
the witcher 3,The Witcher 2: Assassins of Kings,1836,0.5764723052941847,"May 17, 2011",Atari | CD Projekt RED,"This third-person dark fantasy Western RPG and sequel to The Witcher (2007), featuring multiple endings and branching narrative paths, follows the travels of Geralt of Rivia, witcher, who, after being falsely accused of regicide, sets out to clear his name and find the real killer, in a time of political turmoil and the brink of war between the imperialistic Nilfgaardian Empire and the Four Kingdoms.",Windows PC | Mac | Xbox 360 | Linux,Adventure | RPG,3.5,1800.0,22.0,698.0,202.0,203.0,18.0
the witcher 3,The Witcher Remake,34145,0.5726722702612432,TBD,CD Projekt | Fool's Theory,"Previously codename Canis Majoris, The Witcher Remake is built from the ground up with Unreal Engine 5. It is being developed by Polish studio Fool's Theory with veteran Witcher staff and is still early in development.",Windows PC | PlayStation 5 | Xbox Series,RPG,,1.0,1.0,36.0,132.0,42.0,0.0
the witcher 3,The Witcher 3: Wild Hunt - Blood and Wine,883,0.4866393582545499,"May 30, 2016",CD Projekt RED,"Blood and Wine is the second major expansion to The Witcher 3: Wild Hunt.
The players will accompany Geralt of Rivia to the region of Toussaint, one of the few places in the Witcher universe which has remained largely untouched by the war. The calm, laid-back atmosphere holds a dark and bloody secret that only the White Wolf can uncover; the expansion features brand new items for us to collect on our adventure and also introduces previously unknown characters.",Windows PC | PlayStation 4 | Xbox One | PlayStation 5 | Nintendo Switch | Xbox Series,RPG,4.6,3800.0,68.0,889.0,194.0,238.0,121.0
the witcher 3,Gwent: The Witcher Card Game,3969,0.4809112410572651,"Oct 23, 2018",CD Projekt RED,"Join in The Witcher universe’s favorite card game, available for free! Blending the CCG and TCG genres, Gwent sees you clash in fast-paced online PvP duels that combine bluffing, on-the-fly decision making and careful deck construction. Collect and command Geralt, Yennefer and other iconic Witcher-world heroes. Grow your collectible arsenal with spells and special abilities that dramatically turn the tide of battle. Use deception and clever tricks in your strategy to win the fight in classic, seasonal and arena modes.",Windows PC | Android | PlayStation 4 | iOS | Xbox One,Card & Board Game | RPG | Strategy,3.1,1100.0,27.0,132.0,18.0,81.0,30.0
the witcher 3,The Witcher: Project Sirius,5031,0.4509621724810562,TBD,The Molasses Flood | CD Projekt,"Game developed by The Molasses Flood with support from the CD PROJEKT RED team, set in The Witcher universe. It has been described to tell ""an unforgettable story for existing Witcher fans and new audiences."" Compared to existing CD PROJEKT RED games, this one is said to ""target a much broader audience."" Sirius will include both single-player and multiplayer gameplay.",,,,0.0,0.0,3.0,26.0,9.0,0.0
the witcher 3,The Witcher: Enhanced Edition Director's Cut,6712,0.4468594539326953,"Sep 16, 2008",CD Projekt RED | 1C-SoftClub,"Assume the role of The Witcher, Geralt, a legendary monster slayer caught in a web of intrigue as he battles forces vying for control of the world. Make difficult decisions and live with the consequences in a game that will immerse you in an extraordinary tale like no other.",Windows PC | iOS,Adventure | RPG,3.5,249.0,9.0,177.0,27.0,31.0,12.0
the witcher 3,The Witcher 2: Assassins of Kings - Enhanced Edition,700,0.411237862365118,"Apr 16, 2012",CD Projekt | CD Projekt RED,"All existing owners of The Witcher 2 received free upgrades to the Enhanced Edition, and could pre-load the update starting 11 April 2012. All new copies on PC and Xbox 360 shipped with the additional content on board. The Witcher 2: Assassins of Kings - Enhanced Edition added over 10GB of new content, including four hours of gameplay, arena mode, new tutorial, 36 minutes of cinematics including a new intro created by Platige Image and an outro, as well as a host of fixes to gameplay and the interface.",Windows PC | Mac | Xbox 360 | Linux,Adventure | RPG,3.6,5500.0,128.0,2400.0,409.0,381.0,144.0
the witcher 3,The Witcher 3: Wild Hunt - New Quest 'Contract: Skellige's Most Wanted',6219,0.4056283781638794,"Jun 23, 2015",CD Projekt RED,Contract: Skellige's Most Wanted is a contract quest in The Witcher 3: Wild Hunt. A monster hunt like no other - can you survive it?,Windows PC | PlayStation 4 | Xbox One,RPG,4.2,20.0,0.0,4.0,2.0,7.0,0.0
