Original Query,Processed Query,Title,ID,BM25 Score,SBERT Score
AAA games,aaa game,Dreamhouse: The Game,16249,7.5605152236719215,0.0
AAA games,aaa game,Niche: a genetics survival game,31498,8.561190342507174,0.0
AAA games,aaa game,Starting the Game,31395,8.598684049139198,0.0
AAA games,aaa game,Luna Game,13604,8.598684049139198,0.0
AAA games,aaa game,World War II: Prisoner of War,37970,0.0,0.3736221194267273
AAA games,aaa game,Ball Park,24408,0.0,0.3736250102519989
AAA games,aaa game,Play Boy,15216,0.0,0.3746821880340576
AAA games,aaa game,The Boondock Saints Video Game,29629,0.0,0.37516528367996216
AAA games,aaa game,Sky Force,29856,0.0,0.37553870677948
AAA games,aaa game,Pro Golf,25665,0.0,0.37588590383529663
AAA games,aaa game,Highrise - Your Avatar Community,19870,0.0,0.37652403116226196
AAA games,aaa game,Batman: Arkham Origins mobile,26224,0.0,0.37675416469573975
AAA games,aaa game,The Playroom 2,12929,0.0,0.3767969310283661
AAA games,aaa game,Handyworker's Tale,38079,0.0,0.3775351643562317
AAA games,aaa game,Batman & Robin,34011,0.0,0.37835222482681274
AAA games,aaa game,Plunder Pirates,31071,0.0,0.3788500428199768
AAA games,aaa game,Major League Baseball,14010,0.0,0.3803837299346924
AAA games,aaa game,Blackout Z,37542,0.0,0.38070183992385864
AAA games,aaa game,Battle of Heroes: Land of Immortals,30324,0.0,0.38172316551208496
AAA games,aaa game,Zig Zag Ball,17155,0.0,0.3826864957809448
AAA games,aaa game,Breakout: Boost,22726,0.0,0.3831312656402588
AAA games,aaa game,Power League II,39596,0.0,0.383211612701416
AAA games,aaa game,Snake's Game,37100,8.548557019215373,0.0
AAA games,aaa game,Farscape: The Game,34134,8.409374669834765,0.0
AAA games,aaa game,Kingyo Chuuihou! Tobidase! Game Gakuen,11020,8.32490826389022,0.0
AAA games,aaa game,The Torture Game 2,32424,8.196982111407735,0.0
AAA games,aaa game,Game 1,25073,12.45826512787071,0.0
AAA games,aaa game,Vampiromania: O Game,16206,12.345146090324683,0.0
AAA games,aaa game,Lil Gator Game,809,12.271279380097514,0.0
AAA games,aaa game,[REMOVE] Crane Game Toreba,10045,12.271279380097514,0.0
AAA games,aaa game,Alhambra Game,12169,12.271279380097514,0.0
AAA games,aaa game,Rena Game,27699,12.271279380097514,0.0
AAA games,aaa game,Game Soup,14182,9.423068703316572,0.0
AAA games,aaa game,Game Hero,20696,9.006933071946248,0.0
AAA games,aaa game,Steam and Sacrilege,33048,0.0,0.3717042803764343
AAA games,aaa game,Dice Game,12156,8.936484603208816,0.0
AAA games,aaa game,Hasbro Family Game Night: Battleship,17846,0.0,0.38332998752593994
AAA games,aaa game,The Itchy & Scratchy Game,9546,8.81064802403199,0.0
AAA games,aaa game,Coloring Game 2,32131,7.956000590719332,0.0
AAA games,aaa game,Game.exe,19403,7.984063204451829,0.0
AAA games,aaa game,Super Stupid Game,14779,7.993955313738384,0.0
AAA games,aaa game,STCC 2: The Game,37212,8.044605935216703,0.0
AAA games,aaa game,Game & Watch Helmet,16215,8.046143074730747,0.0
AAA games,aaa game,Game & Watch Vermin,11455,8.046143074730747,0.0
AAA games,aaa game,Game & Watch Flagman,9383,8.046143074730747,0.0
AAA games,aaa game,A Game With a Kitty,17916,8.10281411594742,0.0
AAA games,aaa game,Futurama: Game of Drones,14572,8.10281411594742,0.0
AAA games,aaa game,Game Tengoku,19188,8.162630569965783,0.0
AAA games,aaa game,Khumba: The Game,36692,8.716222144089635,0.0
AAA games,aaa game,Counter-Strike Nexon: Studio - Zombies: Oz's Trio,17675,0.0,0.3839804232120514
AAA games,aaa game,Heroes of the Dungeon,29620,0.0,0.38560688495635986
AAA games,aaa game,Digger - Classic arcade game,28519,0.0,0.3863787055015564
AAA games,aaa game,The Game,35685,0.0,0.40585047006607056
AAA games,aaa game,Mahjong,19704,0.0,0.40591126680374146
AAA games,aaa game,Final Fantasy: Unlimited with U,14911,0.0,0.4076717495918274
AAA games,aaa game,Zombie Pixel Zombie,25745,0.0,0.40923410654067993
AAA games,aaa game,The Wild Life - The Game,29607,0.0,0.41387611627578735
AAA games,aaa game,Battlestone,30449,0.0,0.41698288917541504
AAA games,aaa game,Global Arcade Classics,32817,0.0,0.41944175958633423
AAA games,aaa game,Untitled FromSoftware Game,28969,0.0,0.4219405949115753
AAA games,aaa game,After Dark Games,35861,0.0,0.42660319805145264
AAA games,aaa game,Team,23630,0.0,0.4325103759765625
AAA games,aaa game,Petz: Hamsterz Superstarz,13425,0.0,0.4045809507369995
AAA games,aaa game,Tequila Zombies 2,23566,0.0,0.4336298108100891
AAA games,aaa game,Fireball,37560,0.0,0.43638238310813904
AAA games,aaa game,Sportball Challenge,32065,0.0,0.43689918518066406
AAA games,aaa game,Crystal Fantasy,17045,0.0,0.4472154974937439
AAA games,aaa game,Madden 2004,40381,0.0,0.44825199246406555
AAA games,aaa game,NBA,25666,0.0,0.45854300260543823
AAA games,aaa game,Winning Eleven 2007,22083,0.0,0.46235084533691406
AAA games,aaa game,The Game 15,27977,0.0,0.4712003171443939
AAA games,aaa game,Tales of Windy Land,36722,0.0,0.47147995233535767
AAA games,aaa game,Megaball,34565,0.0,0.48311948776245117
AAA games,aaa game,Annoying Ball Game,21689,7.5605152236719215,0.0
AAA games,aaa game,Cool army games for kids 6 year old and under boys,36926,0.0,0.43432119488716125
AAA games,aaa game,Usotsuki Game,22598,12.46836752810577,0.0
AAA games,aaa game,Board Games Gallery (10 Games),38927,0.0,0.40284329652786255
AAA games,aaa game,Dragon Ball Z,17296,0.0,0.4013445973396301
AAA games,aaa game,Discsphere,27137,0.0,0.3865833580493927
AAA games,aaa game,Untitled Visceral Star Wars Game,13578,0.0,0.38731229305267334
AAA games,aaa game,Club Football 2005,35223,0.0,0.3874397873878479
AAA games,aaa game,HardBall 4,25280,0.0,0.38791564106941223
AAA games,aaa game,Pettson's Inventions,31306,0.0,0.38814955949783325
AAA games,aaa game,TAGAP: The Apocalyptic Game About Penguins,27981,0.0,0.3887523412704468
AAA games,aaa game,Game Chest: Board Games,31197,0.0,0.3896734118461609
AAA games,aaa game,"Ed, Edd n Eddy: The Mis-Edventures - Midway Promotional Game",10945,0.0,0.3915277123451233
AAA games,aaa game,Oblivion,37811,0.0,0.39346209168434143
AAA games,aaa game,Prontis,21446,0.0,0.3937484622001648
AAA games,aaa game,Hero Emblem 2,23543,0.0,0.40152186155319214
AAA games,aaa game,Dont Play This Game.exe,36903,0.0,0.394931823015213
AAA games,aaa game,2034: A.C. (After Canada) II,23624,0.0,0.39611750841140747
AAA games,aaa game,The Lost Dollar,28646,0.0,0.396436870098114
AAA games,aaa game,Global Champion,10593,0.0,0.39704447984695435
AAA games,aaa game,Popeye Arcade Game,40959,0.0,0.3973948061466217
