Query,Title,ID,Similarity,Release_Date,Developers,Summary,Platforms,Genres,Rating,Plays,Playing,Backlogs,Wishlist,Lists,Reviews,Developer,Score
AAA games,All-Star Baseball 2003,31162,0.5657498836517334,"Feb 25, 2002","['Acclaim Entertainment', 'Acclaim Studios Austin']","The All-Star Baseball baseball video game series was developed and published by Acclaim Entertainment. The series began in 1997 with the release of All-Star Baseball '97 Featuring Frank Thomas, the successor to Frank Thomas Big Hurt Baseball. New York Yankees play-by-play announcers John Sterling and Michael Kay were the announcers for 1998-2000 editions of the game. The final release in the series (due to the bankruptcy of Acclaim) is All-Star Baseball 2005.
Within the individual games, there are several different modes of play, such as exhibition, managing an existing Major League Baseball team or creating a team. Many North American cities are available for ""expansion,"" in addition to Mexico City and Puerto Rico.
Most of the games feature Derek Jeter on the cover.","['Nintendo GameCube', 'Xbox', 'PlayStation 2']",['Sport'],1.9,14.0,0.0,2.0,0.0,4.0,1.0,,0
AAA games,Smart Girl's: Party Games,36593,1.2771420080338858,TBD,['505 Games'],,[],[],,2.0,0.0,0.0,0.0,0.0,0.0,,0
AAA games,Board Games Gallery (10 Games),38927,1.3723631296926082,TBD,[],,[],[],,0.0,0.0,0.0,0.0,1.0,0.0,,0
AAA games,KoGaMa,25434,0.1986098729247312,"Sep 17, 2011",,"KoGaMa is one of the largest sources of the best user created online games including parkour games, funny games, arcade games, multiplayer games, internet games, shooting games, RPG games, racing games, adventure games and much more. Tons of comments ratings, gamers of all skill levels are sure to find hot new games every day. On KoGaMa you can create and publish your own games.",Windows PC | Android,,2.7,115.0,1.0,4.0,3.0,8.0,12.0,Multiverse ApS,0
AAA games,Blood & Glory 2: Legend,21996,0.1934680444708578,"Jun 09, 2012",,Welcome to Blood & Glory Legend – the highly anticipated sequel to the AAA blockbuster smash-hit Blood & Glory! Return to the arena and bask in the blood-hungry cheers of the crowd as you fight to become a LEGEND!,iOS,Adventure,,8.0,0.0,0.0,0.0,2.0,0.0,Glu Mobile,2
AAA games,DreamLand,23522,0.1869575762840713,"Jul 07, 2016",,"Summary: 
“DreamLand” is an immersive VR game, made by AAA team base on htcVIVE with Unreal Engine. With the VR device, the player could pass through the Portal of Astral Spirit, and explore the mystical dreamland by time travel. In this journey, the player can identify the secret of the ancient civilization via solving puzzles, which make the player immerse in a fantastical experience of audio and visual.",Windows PC,RPG,,0.0,0.0,0.0,0.0,0.0,0.0,,2
AAA games,Shadowverse,34274,0.1712193618357307,"Jun 17, 2016",,"""Shadowverse: the next evolution in collectible card games!
Welcome to the fierce battlegrounds of Shadowverse, Japan's #1 competitive card collecting game!
From the creators of Rage of Bahamut and RPG sensation Granblue Fantasy, Shadowverse features AAA artwork and unique game mechanics that make it the most visually and tactically rich CCG on the market.
- SUMMON 400+ cards, each lavishly illustrated with jaw-dropping fantasy art
- STRATEGIZE with innovative mechanics that guarantee thrilling battles
- MASTER seven character classes each with unique play styles and killer cards
- BATTLE real-time opponents from around the world, or enjoy the fully voiced story mode
Come join our fun-loving community and show us your Shadowverse style! """,Windows PC | Android | Mac | iOS,Card & Board Game | RPG | Strategy | Turn Based Strategy,2.8,454.0,27.0,36.0,7.0,29.0,18.0,Cygames,2
AAA games,Outlive,28635,0.1705494210626569,"Mar 19, 2001",,"Outlive is a Brazilian real-time strategy computer game developed and produced by Continuum Entertainment. It is a mission-based real-time strategy game where the player controls either the human military or robot forces and attempts to eliminate all opposing forces. It was initially released in 2000 in Brazil (2001 for the rest of the world), and was the second and most successful product of Continuum. The game was one of the few Brazilian games to be published by a mainstream AAA publisher. It was published in the United States and Europe by Take-Two Interactive.",Windows PC,Real Time Strategy | Simulator | Strategy,4.1,18.0,0.0,5.0,9.0,6.0,0.0,Continuum Entertainment | Take-Two Interactive,0
AAA games,Marine Heavy Gunner: Vietnam,28312,0.8662556440327014,"Aug 22, 2004","['Brainbox Games', 'Groove Games']",,['Windows PC'],['Shooter'],1.7,6.0,0.0,0.0,0.0,3.0,2.0,,0
AAA games,Mu-Cade,25853,0.8476849734765497,TBD,['ABA Games'],,[],[],,1.0,0.0,0.0,0.0,0.0,0.0,,0
AAA games,X-COM: em@il Games,29490,0.8476849734765497,TBD,[],,[],[],,0.0,0.0,0.0,0.0,0.0,0.0,,0
AAA games,Prodeus,1029,0.2185190007432355,"Nov 09, 2020",,"""Prodeus is the first person shooter of old, re-imagined using modern rendering techniques. It reaches the quality you expect from a AAA experience while adhering to some of the aesthetic technical limits of older hardware.""
In Prodeus, the players slip into the role of a corrupted agent of Prodeus who is determined on his way to destroy his creator and every opponent.",Windows PC | Mac | PlayStation 4 | Xbox One | PlayStation 5 | Nintendo Switch | Xbox Series,Adventure | Indie | Shooter,3.5,649.0,64.0,349.0,296.0,191.0,91.0,Bounding Box Software | Humble Bundle,3
AAA games,Bigfield 2042,10148,0.5862290084070579,TBD,,True AAA quality.,,Adventure | Indie | Simulator,,1.0,0.0,0.0,0.0,0.0,1.0,,2
AAA games,Utopias: Navigating Without Coordinates,37265,0.4507155141765333,"Apr 12, 2020",,"Utopias: Navigating Without Coordinates is a videogame network of nine worlds - each one a personal utopia developed by a member of AAA collective.
Is a collective utopia possible?",Windows PC,Adventure | Indie,3.3,16.0,0.0,33.0,32.0,21.0,1.0,AAA Software,0
AAA games,Game Director Story,9370,0.2744441506757748,"Dec 31, 2022",,"Game Director Story is an unflinching and satirical look behind-the-scenes at how big-budget AAA games are made. Based on first-hand accounts by industry veterans, Players experience the emotional roller coaster of guiding a team through the agonizing decisions and compromises needed to ship a game.",Windows PC | Mac,Adventure | Indie | Simulator | Strategy | Visual Novel,,0.0,0.0,2.0,8.0,9.0,0.0,Double Blit Games,0
AAA games,Supersolar,36965,0.2663352689138951,TBD,,"Supersolar is a top-down action game where players control a gunship and battle swarms of AI drones and robot space squids using a large arsenal of weapons and gear. The game blends space shooter elements with ""dungeon"" crawling gameplay and everything is packed together in a story-driven singleplayer campaign with realistic, AAA graphics.",Windows PC,Adventure | Indie,,0.0,0.0,0.0,0.0,0.0,0.0,babadokia,0
AAA games,Project DT,4849,0.2527007839209539,TBD,,Project DT has been revealed by Chinese-based developer Digital Sky. This developer's first AAA game essentially mashes up Metal Gear with NieR Automata.,Windows PC | Mac,Arcade | Brawler | Indie,,0.0,0.0,3.0,22.0,2.0,0.0,Digital Sky Entertainment Limited,2
AAA games,Summer Road,27413,0.250985667458098,TBD,,"Summer Road is a new RPG based on the concept of playing RPGs more casually. It targets people who are tired of AAA RPGs and want to play in a short time, and want to immerse themselves in nostalgia.",,RPG,,0.0,0.0,1.0,1.0,0.0,0.0,,0
AAA games,Carnal Instinct,25295,0.2053370813223967,"Mar 01, 2021",,"Carnal Instinct is an Adult RPG with an emphasis on AAA quality visuals and compelling erotic interaction. You enter the world of Sabu a slave, but will forge your own destiny and shape the world itself in this realm of ancient gods, mythical creatures, and boundless lust.",Windows PC,RPG,3.0,4.0,1.0,0.0,3.0,1.0,0.0,Team Carnal Instinct,0
AAA games,Skyblock Hunter Survival Games,31025,0.8476849734765497,TBD,[],,[],[],,0.0,0.0,0.0,0.0,0.0,0.0,,0
AAA games,Mujo,22107,0.7719043159084564,"Nov 30, 2017",['Oink Games'],A puzzle game from Oink Games Inc.,['Nintendo Switch'],['Puzzle'],,4.0,0.0,1.0,2.0,0.0,0.0,,0
AAA games,Guns of Mercy,27167,0.7788079831649872,TBD,['Storybird Games'],,[],[],,1.0,0.0,0.0,2.0,0.0,0.0,,0
AAA games,Girl and Boy dressup miraculous games,25137,0.7788079831649872,TBD,[],,[],[],,0.0,0.0,0.0,0.0,1.0,0.0,,0
AAA games,Gaelic Games: Football 2,39243,0.8461309279936815,"Nov 07, 2007",[],Gaelic Games: Football 2 is the second game in the Gaelic Games franchise.,['PlayStation 2'],['Sport'],,3.0,0.0,1.0,0.0,1.0,2.0,,0
AAA games,Granatha Eternal,32553,0.8476849734765497,TBD,[],NEOWIZ GAMES Corporation,[],[],,0.0,0.0,0.0,1.0,0.0,0.0,,0
AAA games,Game Chest: Board Games,31197,0.8476849734765497,TBD,[],,[],[],,0.0,0.0,0.0,0.0,0.0,0.0,,0
AAA games,Hoyle Puzzle Games,17788,1.1134070840428476,TBD,[],A collection of puzzle games.,[],['Puzzle'],,3.0,0.0,0.0,0.0,0.0,0.0,,0
AAA games,Ken Griffey Jr. Presents Major League Baseball,38448,0.5690915584564209,"Mar 01, 1994","['Software Creations', 'Nintendo']","Ken Griffey Jr Presents Major League Baseball is a baseball simulation featuring Ken Griffey Jr. of the ""Nintendo Owned"" Seattle Mariners. This licensed game allows you to play with all 28 Major League Teams in their own stadiums and over 700 player names (not likenesses). You control your pitcher or batter as well your fielders. The game allows you to play and save a 26, 78 or 162 game season.",['SNES'],"['Arcade', 'Sport']",3.3,75.0,1.0,7.0,2.0,23.0,3.0,,0
